"Description","Value","BookMark"
"Partner acronym / nickname","DOJ","Partner_Nickname"
"Partner full name","Department of Justice","Partner_FullName"
"Exchange 2016 source install files directory","D:\Source\E2016CUx","EXCH_Source_Dir"
"Exchange 2016 Extras Directory (E2016Extras)","D:\Source\E2K16Extras\","E2016Extras_DIR"
"Exchange binaries installation directory","D:\Program Files\Microsoft\Exchange Server","EXCH_INST_DIR"
"HTTP client endpoint for OWA, ECP, OAB, EWS, EAS, OA, MAPIoverHTTP","webmail.justice.gc.ca","Client_Endpoint"
"Internal Url","https://webmail.justice.gc.ca","Internal_Url"
"External Url","https://webmail.justice.gc.ca","External_Url"
"Autodiscover","autodiscover.justice.gc.ca","Autodiscover"
"Exchange 2016 Organization Unit (OU)","Servers\Messaging\Exchange2016","E2016_Org_Unit"
"MAPI Network initial name","Embedded Flexible LOM 1 Port 1","NIC_MAPI_NAme"
"MAPI Network card hardware model","HPE Ethernet 10Gb 2-port 562FLR-SFP+ Adapter","NIC_MAPI_HW_NAme"
"Replication Network initial name (if applicable)","Embedded Flexible LOM 1 Port 2","NIC_REP_Name"
"Replication Network card hardware model","HPE Ethernet 10Gb 562SFP+ Adapter","NIC_REP_HW_Model"
"DEFAULT_GATEWAY (IP address of server?s default gateway)","xx.xx.xx.xx","DEFAULT_GATEWAY"
"DNS1 (IP address of primary DNS server)","xx.xx.xx.xx","DNS1"
"DNS2 (IP address of secondary DNS server)","xx.xx.xx.xx","DNS2"
"DOMAIN_NAME","JUSTICE","DOMAIN_NAME"
"EXTRAS_CD","E2K16Extras","EXTRAS_CD"
"FQDN_DOMAIN","JUSTICE.GC.CA","FQDN_DOMAIN"
"IP_ADDRESS (IP address of the Client Access Array)","xx.xx.xx.xx","CASARRAY"
"IP_ADDRESS (IP address of first Mailbox server being built)","xx.xx.xx.xx","IP_ADDRESS"
"FIRST Mailbox SERVER_NAME ","E2016-01","FIRST_SERVER_NAME"
"SUBNET_MASK (first server?s subnet mask)","xx.xx.xx.xx","SUBNET_MASK"
"IP_ADDRESS (IP address of second Mailbox server being built)","xx.xx.xx.xx","IPADDRESS1"
"SECOND Mailbox SERVER_NAME","E2016-02","SECOND_SERVER_NAME"
"SUBNET_MASK (second server?s subnet mask)","xx.xx.xx.xx","SUBNET_MASK1"
"Database name first server","DB1","DB_First_Server"
"Database name second server","DB2","DB_Second_Server"
"DAG name","E2016DAG01","Dag_Name"
"Witness Server","WitnessServerName","Witness_Server"
"Witness Directory","D:\Wit_Dir","Witness_DIR"
"Page File","32778","PageFile"
"Exchange Product Key","XXXXX-XXXXX-XXXXX-XXXXX-XXXXX","Prod_Key"
"CAS Name","Cas_Name","Cas_Name"
"DB Prefix First server","Srv1Site1","DB_Prefix"
"DB Prefix second server","Srv2Site2","DB_Prefix1"
