"ComputerName","DateTime","CounterCategory","CounterName","Instance","Value"
"sfbkamehameha","2018-05-14 06:30:23","processor(_total)","% processor time","_total","20.8"
"sfbkamehameha","2018-05-14 06:30:24","memory","available mbytes",,"3529"
"sfbkamehameha","2018-05-14 06:30:25","processor(_total)","% processor time","_total","10.05"
"sfbkamehameha","2018-05-14 06:30:25","memory","available mbytes",,"3534"
"sfbkamehameha","2018-05-14 06:30:26","processor(_total)","% processor time","_total","1.52"
"sfbkamehameha","2018-05-14 06:30:26","memory","available mbytes",,"3536"
"sfbkamehameha","2018-05-14 06:30:27","processor(_total)","% processor time","_total","8.6"
"sfbkamehameha","2018-05-14 06:30:27","memory","available mbytes",,"3541"
"sfbkamehameha","2018-05-14 06:30:28","processor(_total)","% processor time","_total","4.31"
"sfbkamehameha","2018-05-14 06:30:28","memory","available mbytes",,"3543"
